Price,SPY,QQQ,IWM,EFA,TLT
2015-01-05,-0.01822475660059451,-0.014777118276092674,-0.0134593778632219,-0.023888365118460576,0.015585876035177927
2015-01-06,-0.009463599297084091,-0.01349927786319966,-0.01745183171939024,-0.011391510700626441,0.017857060424504113
2015-01-07,0.012384581241566469,0.012808674361822783,0.01223934722303921,0.01105341785343379,-0.001976982310827322
2015-01-08,0.017589135210736895,0.01895884020767186,0.016819886100234112,0.013438599392208239,-0.013331319127569501
2015-01-09,-0.00804578209337682,-0.0066044024546370195,-0.009649500747470896,-0.004850702805334019,0.010892612079656954
2015-01-12,-0.007864649359496882,-0.010481820317833984,-0.003322601776799513,-0.0023500107465732195,0.005706469866332387
2015-01-13,-0.002816683810891831,-0.00029516848095674004,0.0007675728489502831,0.005029282389004014,0.0
2015-01-14,-0.006055425021553478,-0.005531664034471327,-0.004015844076731164,-0.002846826395409968,0.0075572418074809355
2015-01-15,-0.009202629584088412,-0.013060204069246134,-0.017010274438441143,0.0063524401734081715,0.015612704232594862
2015-01-16,0.013028782281117205,0.011672740213794143,0.016153987837091297,0.012913970092154786,-0.012830975088121095
2015-01-20,0.002130426326463717,0.007903771366634664,-0.004207611253593859,0.003448707904557929,0.013202310265683994
2015-01-21,0.005035244530934926,0.00510368325705922,-0.0031890853011959023,0.00783800309574915,-0.01162686625124876
2015-01-22,0.014761746303615991,0.018335169272416695,0.02016814207094962,0.003733961997571832,-0.003604966264240934
2015-01-23,-0.005497857167854152,0.0022084476215415167,-0.0006772277712503258,-0.0056879904135708845,0.013823021503096148
2015-01-26,0.002339049347255298,-0.0011515904263941475,0.009604785973206312,0.013597076307591795,-0.0030475640046952832
2015-01-27,-0.013278265925873146,-0.02626860327074701,-0.0047904160818009345,0.0014461178697245862,0.0015614313693323944
2015-01-28,-0.01290731035101675,-0.005139647543162343,-0.016994369911438753,-0.015043194177316558,0.01621696757577563
2015-01-29,0.009200945938497688,0.009565839251286661,0.013702801481259498,0.013597076307591795,-0.006602084743672632
2015-01-30,-0.012654610876131737,-0.007783900292700004,-0.022223121719704447,-0.01588113822672314,0.017581645505840186
2015-02-02,0.01230767947540135,0.008666743790344498,0.009120037927096257,0.012015221799904597,-0.00378256572856447
2015-02-03,0.014357961316790919,0.00956369619344947,0.017741483550426616,0.01585160498143001,-0.021394247313551763
2015-02-04,-0.0038152452424243797,-0.0008743562747074261,-0.0037088481914804867,-0.008294700380871945,0.0017084072934462396
2015-02-05,0.010044383670842599,0.008614485261152941,0.012838434092500734,0.013681470030130302,-0.011040305118599792
2015-02-06,-0.002768931391725378,-0.006090194807709612,-0.0010845578244965003,-0.012560795162195883,-0.017859663638918336
2015-02-09,-0.004486330368411455,-0.0032048205357528936,-0.00796073060783334,-0.004811663041674106,-0.001605647770804128
2015-02-10,0.010597176221246124,0.015444223296680451,0.006373675740393076,0.009122167288952645,-0.007985427515175959
2015-02-11,0.0005802919502927107,0.0036330562872322345,-0.0014224724103849174,-0.00543117911521281,0.0018482529796505574
2015-02-12,0.009570891249693684,0.011576344406544922,0.011321626620961825,0.01541787539824696,-0.0033144853301297337
2015-02-13,0.004107933272882668,0.008548361499702093,0.0059416954839778885,0.0066027062855718004,-0.010321713114242213
2015-02-17,0.0015720138099130363,0.0009349471851830732,0.003122261474284245,0.0023475720212806266,-0.01517035947393289
2015-02-18,9.488414849365369e-05,0.0014005905258079807,0.0010658130191194054,0.005922737623349809,0.005922419710041605
2015-02-19,-0.0007139071215371256,0.004933650293349426,8.180529341105563e-05,0.0012422709100220815,-0.006635122625578167
2015-02-20,0.005982482779004333,0.006663599114467533,0.002700075544887616,0.009269382194003412,0.0029282133108499623
2015-02-23,-0.0001420601410906711,0.001014026949205195,0.000980224024392696,-0.0035429114443464855,0.011393369498751091
2015-02-24,0.0028367682111587237,0.0007370716000266095,0.0013049696329256093,0.006153974018105615,0.01304060342850344
2015-02-25,-0.000850194504118668,-0.002489080006267384,0.0011409644292409255,0.0007665401722060061,0.004309506234071109
2015-02-26,-0.0011818039726202748,0.005064218256558945,0.0036578631751441127,-0.0027626882510658098,-0.013762448485401814
2015-02-27,-0.003412061693918586,-0.004418416484546584,-0.00545113549627605,0.00046105948066280176,0.008372855024195535
2015-03-02,0.006293359099209799,0.008999826072722084,0.007234524992409473,0.0015350885981969284,-0.01880240431662387
2015-03-03,-0.004112542762903641,-0.004673191325181278,-0.005929975469063263,-0.006153974018105528,-0.003632612297840806
2015-03-04,-0.004224093451078637,-0.0038655920622820547,-0.0031008994151349944,-0.004020352996956208,0.00031665295589487487
2015-03-05,0.0010933639078170975,0.0017503770488640769,0.002937699372841902,0.0023214128745760775,-0.001266082014245076
2015-03-06,-0.014164541523150725,-0.01138616234786346,-0.01271062535851026,-0.013696773503894574,-0.022339811398607655
2015-03-09,0.00413651786282714,0.002881813409050842,0.004364433538427675,0.0015659328361109605,0.009188639545309792
2015-03-10,-0.016355214858220522,-0.018741080187058397,-0.011570279145940048,-0.021989311542580974,0.01307201879902213
2015-03-11,-0.0023445989899563485,-0.005786790404780822,0.0061324485691465645,0.002555839144039102,0.007259432371475983
2015-03-12,0.012633946638245129,0.0065432192335764805,0.01646966349834175,0.012367341383645043,-0.0007084668830322087
2015-03-13,-0.0061511824357598,-0.004357202087348859,-0.0035823162727046955,-0.005847492768953726,-0.003072855240304101
2015-03-16,0.013272297405974177,0.012827695495038654,0.005855152633646013,0.01119092134434123,0.009581663565781788
2015-03-17,-0.0029768902241881093,0.001592147409783394,0.002672517623875571,-0.0025109153789932646,0.008251146191135915
2015-03-18,0.01194966612422886,0.009776990961328126,0.007973833058915272,0.0211450789312291,0.019118288906916695
2015-03-19,-0.0045716599570596195,0.0014817868174525192,0.0019231322505345412,-0.011761253097365131,-0.005108448633455582
2015-03-20,0.00878793032889923,0.006451735363816193,0.008769356950421595,0.02186394017035389,0.00526039902415807
2015-03-23,-0.0019504497081052389,-0.0019364655250583155,-0.0008733221981970125,0.005013045471874138,-0.001217571571260369
2015-03-24,-0.005634828118980209,-0.0036071366282868344,-0.00023838759366020382,-0.002123476519062056,0.009622405200546805
2015-03-25,-0.014762155944625583,-0.023151052962029028,-0.024176678323770955,-0.004718926389104952,-0.008480922405358911
2015-03-26,-0.0023843926979130463,-0.003419654793417853,-0.001225732816195979,-0.0087350173245532,-0.015712032297340254
2015-03-27,0.0022869458583766144,0.0039882792618317255,0.0063565820138135505,0.0026131462069841596,0.012360562921013046
2015-03-30,0.01212612340200034,0.011401781684943676,0.01347507315110559,0.0006137953632799184,-0.004971863597523881
